Date,Exchange_Rate_GBP_USD,FTSE100_Index,Inflation_Rate,Interest_Rate,GDP_Growth,Unemployment_Rate,CPI
2015-01-01,1.558093547821045,6547.7998046875,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-02,1.5579720735549927,6547.7998046875,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-03,1.5579720735549927,6547.7998046875,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-04,1.5579720735549927,6547.7998046875,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-05,1.5284910202026367,6417.2001953125,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-06,1.5258322954177856,6366.5,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-07,1.5137982368469238,6419.7998046875,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-08,1.5107566118240356,6570.0,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-09,1.5087963342666626,6501.10009765625,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-10,1.5087963342666626,6501.10009765625,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-11,1.5087963342666626,6501.10009765625,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-12,1.5189489126205444,6501.39990234375,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-13,1.5170363187789917,6542.2001953125,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-14,1.5170363187789917,6388.5,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-15,1.5234380960464478,6498.7998046875,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-16,1.5181187391281128,6550.2998046875,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-17,1.5181187391281128,6550.2998046875,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-18,1.5181187391281128,6550.2998046875,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-19,1.5142109394073486,6585.5,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
2015-01-20,1.5090012550354004,6620.10009765625,0.36804684232536,0.5626,0.3036549906,5.665179,99.2
